,Constituency,Name,Party,Picture
260,NA-269 Khuzdar,Mr. Muhammad Akhtar Mengal,BNP,Profile
261,NA-270 Panjgur-cum-Washuk-cum-Awaran,Mr. Ehsanullah Reki,BAP,Profile
262,NA-271 Kech,Ms. Zubaida Jalal,BAP,Profile
263,NA-272 Lesbela-cum-Gwadar,Mr. Mohammad Aslam Bhootani,Ind,Profile
264,RESERVED SEATS FOR WOMEN ( 59 ),RESERVED SEATS FOR WOMEN ( 59 ),RESERVED SEATS FOR WOMEN ( 59 ),RESERVED SEATS FOR WOMEN ( 59 )
265,#,Name,Party,Picture
266,Khyber Pukhtunkhwa (8),Khyber Pukhtunkhwa (8),Khyber Pukhtunkhwa (8),Khyber Pukhtunkhwa (8)
267,1,Ms. Nafeesa Inayatullah Khan Khattak,PTI,Profile
268,2,Ms. Sajida Begum,PTI,Profile
269,3,Ms. Naureen Farooq Ibrahim,PTI,Profile
270,5,Ms. Uzma Riaz,PTI,Profile
271,6,Ms. Zille Huma,PTI,Profile
272,8,Ms. Shahida Akhtar Ali,MMAP,Profile
273,9,Begum Tahira Bukhari,PML-N,Profile
274,10,Ms. Shaheen Naz Saifullah,PTI,Profile
275,Federal (0),Federal (0),Federal (0),Federal (0)
276,Punjab (33),Punjab (33),Punjab (33),Punjab (33)
277,1,Ms. Tahira Aurangzeb,PML-N,Profile
278,3,Ms. Aysha Rajab Ali,PML-N,Profile
279,4,Ms. Marriyum Aurangzeb,PML-N,Profile
280,5,Ms. Shaza Fatima Khawaja,PML-N,Profile
281,6,Dr. Aisha Ghaus Pasha,PML-N,Profile
282,7,Ms. Zahra Wadood Fatemi,PML-N,Profile
283,8,Ms. Kiran Imran Dar,PML-N,Profile
284,9,Ms. Romina Khurshid Alam,PML-N,Profile
285,10,Ms. Musarrat Asif Khawaja,PML-N,Profile
286,11,Ms. Zeb Jaffar,PML-N,Profile
287,12,Dr. Samina Matloob,PML-N,Profile
288,13,Ms. Shahnaz Saleem Malik,PML-N,Profile
289,14,Ms. Seema Mohiuddin Jameeli,PML-N,Profile
290,15,Ms. Maiza Hameed,PML-N,Profile
291,17,Ms. Munaza Hassan,PTI,Profile
292,18,Ms. Andleeb Abbas,PTI,Profile
293,19,Ms. Asma Qadeer,PTI,Profile
